parcela	codigo	especie	abundancia
parcela1	1	spp_M	19
parcela1	2	spp_M	7
parcela1	3	spp_M	20
parcela1	4	spp_N	8
parcela1	5	spp_Z	25
parcela1	6	spp_P	30
parcela1	7	spp_W	43
parcela1	8	spp_V	26
parcela1	9	spp_Z	16
parcela1	10	spp_F	20
parcela1	11	spp_P	9
parcela1	12	spp_P	7
parcela1	13	spp_G	41
parcela1	14	spp_E	7
parcela1	15	spp_Z	22
parcela1	16	spp_F	16
parcela1	17	spp_W	54
parcela1	18	spp_S	9
parcela1	19	spp_W	39
parcela1	20	spp_V	24
parcela1	21	spp_R	38
parcela1	22	spp_H	35
parcela1	23	spp_F	6
parcela1	24	spp_V	3
parcela1	25	spp_N	11
parcela1	26	spp_V	20
parcela1	27	spp_O	28
parcela1	28	spp_K	9
parcela1	29	spp_U	15
parcela1	30	spp_F	17
parcela1	31	spp_Z	35
parcela1	32	spp_A	23
parcela1	33	spp_T	19
parcela1	34	spp_K	37
parcela1	35	spp_K	50
parcela1	36	spp_U	29
parcela1	37	spp_E	45
parcela1	38	spp_K	8
parcela1	39	spp_L	31
parcela1	40	spp_X	4
parcela1	41	spp_H	8
parcela1	42	spp_B	25
parcela1	43	spp_M	7
parcela1	44	spp_N	21
parcela1	45	spp_U	53
parcela1	46	spp_K	18
parcela1	47	spp_S	19
parcela1	48	spp_P	30
parcela1	49	spp_J	49
parcela1	50	spp_L	3
parcela1	51	spp_F	25
parcela1	52	spp_N	6
parcela1	53	spp_D	15
parcela1	54	spp_H	35
parcela1	55	spp_E	30
parcela1	56	spp_Q	29
parcela1	57	spp_L	52
parcela1	58	spp_A	54
parcela1	59	spp_K	28
parcela1	60	spp_J	35
parcela1	61	spp_Q	52
parcela1	62	spp_V	2
parcela1	63	spp_A	49
parcela1	64	spp_V	51
parcela1	65	spp_E	44
parcela1	66	spp_I	8
parcela1	67	spp_L	21
parcela1	68	spp_W	40
parcela1	69	spp_N	23
parcela1	70	spp_Q	39
parcela1	71	spp_Q	37
parcela1	72	spp_G	41
parcela1	73	spp_S	31
parcela1	74	spp_O	43
parcela1	75	spp_O	34
parcela1	76	spp_Z	21
parcela1	77	spp_U	1
parcela1	78	spp_N	40
parcela1	79	spp_W	25
parcela1	80	spp_M	44
parcela10	81	spp_V	36
parcela10	82	spp_P	27
parcela10	83	spp_F	51
parcela10	84	spp_J	17
parcela10	85	spp_N	52
parcela10	86	spp_R	35
parcela10	87	spp_M	43
parcela10	88	spp_R	22
parcela10	89	spp_U	2
parcela10	90	spp_F	6
parcela10	91	spp_Q	19
parcela10	92	spp_D	31
parcela10	93	spp_N	41
parcela10	94	spp_A	5
